GROUP,CONAME,COCODE,DIST,DISTNAME
B. K-8 / 0 - 400,Atlantic,01,570,Brigantine City
B. K-8 / 0 - 400,Atlantic,01,1410,Estell Manor City
B. K-8 / 0 - 400,Atlantic,01,1540,Folsom Boro
B. K-8 / 0 - 400,Atlantic,01,3020,Margate City
B. K-8 / 0 - 400,Atlantic,01,4240,Port Republic City
B. K-8 / 0 - 400,Atlantic,01,5760,Weymouth Twp
C. K-8 / 401 - 750,Atlantic,01,1300,Egg Harbor City
C. K-8 / 401 - 750,Atlantic,01,3480,Mullica Twp
C. K-8 / 401 - 750,Atlantic,01,4800,Somers Point City
C. K-8 / 401 - 750,Atlantic,01,5350,Ventnor City
D. K-8 / 751 +,Atlantic,01,10,Absecon City
D. K-8 / 751 +,Atlantic,01,1690,Galloway Twp
D. K-8 / 751 +,Atlantic,01,1940,Hamilton Twp
D. K-8 / 751 +,Atlantic,01,2680,Linwood City
D. K-8 / 751 +,Atlantic,01,3720,Northfield City
E. K-12 / 0 - 1800,Atlantic,01,590,Buena Regional
F. K-12 / 1801 - 3500,Atlantic,01,1960,Hammonton Town
G. K-12 / 3501 +,Atlantic,01,110,Atlantic City
G. K-12 / 3501 +,Atlantic,01,1310,Egg Harbor Twp
G. K-12 / 3501 +,Atlantic,01,4180,Pleasantville City
H. 7-12 / 9-12,Atlantic,01,1790,Greater Egg Harbor Reg
H. 7-12 / 9-12,Atlantic,01,2910,Mainland Regional
I. CSSD,Atlantic,01,125,Atlantic Co Special Serv
J. County Voc,Atlantic,01,120,Atlantic Co Vocational
K. Charter/Ren,Atlantic,01,6060,Atlantic Community Charter School
K. Charter/Ren,Atlantic,01,6104,Principle Academy Charter School
K. Charter/Ren,Atlantic,01,7410,Charter~tech High School
A. K-6,Bergen,03,1270,Edgewater Boro
A. K-6,Bergen,03,3870,Oradell Boro
A. K-6,Bergen,03,4410,River Edge Boro
A. K-6,Bergen,03,4620,Saddle River School District
B. K-8 / 0 - 400,Bergen,03,80,Alpine Boro
B. K-8 / 0 - 400,Bergen,03,3350,Moonachie Boro
B. K-8 / 0 - 400,Bergen,03,4870,South Hackensack Twp
C. K-8 / 401 - 750,Bergen,03,740,Carlstadt Boro
C. K-8 / 401 - 750,Bergen,03,1380,Englewood Cliffs Boro
C. K-8 / 401 - 750,Bergen,03,2050,Harrington Park Boro
C. K-8 / 401 - 750,Bergen,03,2090,Haworth Boro
C. K-8 / 401 - 750,Bergen,03,2200,Ho Ho Kus Boro
C. K-8 / 401 - 750,Bergen,03,3730,Northvale Boro
C. K-8 / 401 - 750,Bergen,03,3740,Norwood Boro
C. K-8 / 401 - 750,Bergen,03,3850,Old Tappan Boro
C. K-8 / 401 - 750,Bergen,03,4470,Rochelle Park Twp
C. K-8 / 401 - 750,Bergen,03,5880,Woodcliff Lake Boro
D. K-8 / 751 +,Bergen,03,40,Allendale Boro
D. K-8 / 751 +,Bergen,03,930,Closter Boro
D. K-8 / 751 +,Bergen,03,1070,Demarest Boro
D. K-8 / 751 +,Bergen,03,1230,East Rutherford Boro
D. K-8 / 751 +,Bergen,03,1470,Fairview Boro
D. K-8 / 751 +,Bergen,03,1580,Franklin Lakes Boro
D. K-8 / 751 +,Bergen,03,2180,Hillsdale Boro
D. K-8 / 751 +,Bergen,03,2710,Little Ferry Boro
D. K-8 / 751 +,Bergen,03,3060,Maywood Boro
D. K-8 / 751 +,Bergen,03,3330,Montvale Boro
D. K-8 / 751 +,Bergen,03,3760,Oakland Boro
D. K-8 / 751 +,Bergen,03,4430,River Vale Twp
D. K-8 / 751 +,Bergen,03,5330,Upper Saddle River Boro
D. K-8 / 751 +,Bergen,03,5920,Wyckoff Twp
E. K-12 / 0 - 1800,Bergen,03,440,Bogota Boro
E. K-12 / 0 - 1800,Bergen,03,990,Cresskill Boro
E. K-12 / 0 - 1800,Bergen,03,1360,Emerson Boro
E. K-12 / 0 - 1800,Bergen,03,2080,Hasbrouck Heights Boro
E. K-12 / 0 - 1800,Bergen,03,3170,Midland Park Boro
E. K-12 / 0 - 1800,Bergen,03,3910,Palisades Park
E. K-12 / 0 - 1800,Bergen,03,3940,Park Ridge Boro
E. K-12 / 0 - 1800,Bergen,03,4370,Ridgefield Boro
E. K-12 / 0 - 1800,Bergen,03,5410,Waldwick Boro
E. K-12 / 0 - 1800,Bergen,03,5430,Wallington Boro
E. K-12 / 0 - 1800,Bergen,03,5830,Wood-Ridge Boro
F. K-12 / 1801 - 3500,Bergen,03,890,Cliffside Park Boro
F. K-12 / 1801 - 3500,Bergen,03,1130,Dumont Boro
F. K-12 / 1801 - 3500,Bergen,03,1345,Elmwood Park
F. K-12 / 1801 - 3500,Bergen,03,1370,Englewood City
F. K-12 / 1801 - 3500,Bergen,03,1760,Glen Rock Boro
F. K-12 / 1801 - 3500,Bergen,03,2620,Leonia Boro
F. K-12 / 1801 - 3500,Bergen,03,2740,Lodi Borough
F. K-12 / 1801 - 3500,Bergen,03,2860,Lyndhurst Twp
F. K-12 / 1801 - 3500,Bergen,03,2900,Mahwah Twp
F. K-12 / 1801 - 3500,Bergen,03,3550,New Milford Boro
F. K-12 / 1801 - 3500,Bergen,03,3600,North Arlington Boro
F. K-12 / 1801 - 3500,Bergen,03,4310,Ramsey Boro
F. K-12 / 1801 - 3500,Bergen,03,4380,Ridgefield Park Twp
F. K-12 / 1801 - 3500,Bergen,03,4600,Rutherford Boro
F. K-12 / 1801 - 3500,Bergen,03,4610,Saddle Brook Twp
F. K-12 / 1801 - 3500,Bergen,03,5160,Tenafly Boro
F. K-12 / 1801 - 3500,Bergen,03,5755,Westwood Regional
G. K-12 / 3501 +,Bergen,03,300,Bergenfield Boro
G. K-12 / 3501 +,Bergen,03,1450,Fair Lawn Public Schools
G. K-12 / 3501 +,Bergen,03,1550,Fort Lee Boro
G. K-12 / 3501 +,Bergen,03,1700,Garfield City
G. K-12 / 3501 +,Bergen,03,1860,Hackensack City
G. K-12 / 3501 +,Bergen,03,3930,Paramus Boro
G. K-12 / 3501 +,Bergen,03,4390,Ridgewood Village
G. K-12 / 3501 +,Bergen,03,5150,Teaneck Twp
H. 7-12 / 9-12,Bergen,03,745,Carlstadt-East Rutherford
H. 7-12 / 9-12,Bergen,03,3700,Northern Highlands Regional High School
H. 7-12 / 9-12,Bergen,03,3710,Northern Valley Regional
H. 7-12 / 9-12,Bergen,03,3960,Pascack Valley Regional
H. 7-12 / 9-12,Bergen,03,4300,Ramapo-Indian Hill Reg
H. 7-12 / 9-12,Bergen,03,4405,River Dell Regional
I. CSSD,Bergen,03,285,Bergen Co Special Service
J. County Voc,Bergen,03,290,Bergen County Vocational Technical Schoo
K. Charter/Ren,Bergen,03,6013,Bergen Arts And Sciences Charter School
K. Charter/Ren,Bergen,03,6430,Englewood On The Palisades Charter Schoo
K. Charter/Ren,Bergen,03,7890,Teaneck Community Cs
A. K-6,Burlington,05,830,Chesterfield Twp
A. K-6,Burlington,05,2960,Mansfield Twp
A. K-6,Burlington,05,3650,North Hanover Twp
A. K-6,Burlington,05,5010,Springfield Twp
B. K-8 / 0 - 400,Burlington,05,380,Beverly City
B. K-8 / 0 - 400,Burlington,05,1030,Delanco Twp
B. K-8 / 0 - 400,Burlington,05,3540,New Hanover Twp
B. K-8 / 0 - 400,Burlington,05,4460,Riverton
B. K-8 / 0 - 400,Burlington,05,5890,Woodland Twp
C. K-8 / 401 - 750,Burlington,05,1250,Eastampton Twp
C. K-8 / 401 - 750,Burlington,05,1910,Hainesport Twp
C. K-8 / 401 - 750,Burlington,05,3070,Medford Lakes Boro
C. K-8 / 401 - 750,Burlington,05,4740,Shamong Twp
C. K-8 / 401 - 750,Burlington,05,4930,Southampton Township School District
C. K-8 / 401 - 750,Burlington,05,5130,Tabernacle Twp
D. K-8 / 751 +,Burlington,05,1280,Edgewater Park Twp
D. K-8 / 751 +,Burlington,05,1420,Evesham Twp
D. K-8 / 751 +,Burlington,05,2850,Lumberton Twp
D. K-8 / 751 +,Burlington,05,3080,Medford Twp
D. K-8 / 751 +,Burlington,05,3430,Mount Holly Twp
D. K-8 / 751 +,Burlington,05,3440,Mount Laurel Twp
D. K-8 / 751 +,Burlington,05,5720,Westampton
E. K-12 / 0 - 1800,Burlington,05,600,Burlington City
E. K-12 / 0 - 1800,Burlington,05,1520,Florence Twp
E. K-12 / 0 - 1800,Burlington,05,3920,Palmyra Boro
E. K-12 / 0 - 1800,Burlington,05,4450,Riverside Twp
F. K-12 / 1801 - 3500,Burlington,05,475,Bordentown Regional
F. K-12 / 1801 - 3500,Burlington,05,840,Cinnaminson Twp
F. K-12 / 1801 - 3500,Burlington,05,1060,Delran Twp
F. K-12 / 1801 - 3500,Burlington,05,3010,Maple Shade Twp
G. K-12 / 3501 +,Burlington,05,620,Burlington Twp
G. K-12 / 3501 +,Burlington,05,3360,Moorestown Twp
G. K-12 / 3501 +,Burlington,05,4050,Pemberton Twp
G. K-12 / 3501 +,Burlington,05,5805,Willingboro Twp
H. 7-12 / 9-12,Burlington,05,2610,Lenape Regional
H. 7-12 / 9-12,Burlington,05,3690,Northern Burlington Reg
H. 7-12 / 9-12,Burlington,05,4320,Rancocas Valley Regional
I. CSSD,Burlington,05,605,Burlington Co Spec Serv
J. County Voc,Burlington,05,610,Burlington Co Vocational
K. Charter/Ren,Burlington,05,6026,Riverbank Charter School Of Excelle
K. Charter/Ren,Burlington,05,6076,Benjamin Banneker Prep Cs
A. K-6,Camden,07,2540,Laurel Springs Boro
A. K-6,Camden,07,3770,Oaklyn Boro
A. K-6,Camden,07,5560,Waterford Twp
B. K-8 / 0 - 400,Camden,07,580,Brooklawn Boro
B. K-8 / 0 - 400,Camden,07,1720,Gibbsboro Boro
B. K-8 / 0 - 400,Camden,07,2560,Lawnside Boro
B. K-8 / 0 - 400,Camden,07,2890,Magnolia Boro
B. K-8 / 0 - 400,Camden,07,3110,Merchantville Boro
C. K-8 / 401 - 750,Camden,07,190,Barrington Boro
C. K-8 / 401 - 750,Camden,07,340,Berlin Twp
C. K-8 / 401 - 750,Camden,07,880,Clementon Boro
C. K-8 / 401 - 750,Camden,07,3420,Mount Ephraim Boro
C. K-8 / 401 - 750,Camden,07,4790,Somerdale Boro
C. K-8 / 401 - 750,Camden,07,5900,Woodlynne Boro
D. K-8 / 751 +,Camden,07,260,Bellmawr Boro
D. K-8 / 751 +,Camden,07,330,Berlin Boro
D. K-8 / 751 +,Camden,07,1780,Gloucester Twp
D. K-8 / 751 +,Camden,07,4590,Runnemede Boro
D. K-8 / 751 +,Camden,07,5080,Stratford Boro
D. K-8 / 751 +,Camden,07,5400,Voorhees Twp
E. K-12 / 0 - 1800,Camden,07,150,Audubon Public School District
E. K-12 / 0 - 1800,Camden,07,1880,Haddon Heights Boro
F. K-12 / 1801 - 3500,Camden,07,940,Collingswood Boro
F. K-12 / 1801 - 3500,Camden,07,1770,Gloucester City
F. K-12 / 1801 - 3500,Camden,07,1890,Haddon Twp
F. K-12 / 1801 - 3500,Camden,07,1900,Haddonfield Boro
F. K-12 / 1801 - 3500,Camden,07,2670,Lindenwold Boro
F. K-12 / 1801 - 3500,Camden,07,4110,Pine Hill Boro
G. K-12 / 3501 +,Camden,07,680,Camden City
G. K-12 / 3501 +,Camden,07,800,Cherry Hill Twp
G. K-12 / 3501 +,Camden,07,4060,Pennsauken Twp
G. K-12 / 3501 +,Camden,07,5820,Winslow Twp
H. 7-12 / 9-12,Camden,07,390,Black Horse Pike Regional
H. 7-12 / 9-12,Camden,07,1255,Eastern Camden County Reg
H. 7-12 / 9-12,Camden,07,5035,Sterling High School Dist
J. County Voc,Camden,07,700,Camden County Vocational
K. Charter/Ren,Camden,07,1799,Kipp Cooper Norcross
K. Charter/Ren,Camden,07,1801,Camden Prep
K. Charter/Ren,Camden,07,1802,Mastery Schools Of Camden
K. Charter/Ren,Camden,07,6086,Hope Community Cs
K. Charter/Ren,Camden,07,6107,Camden’s Promise Charter School
K. Charter/Ren,Camden,07,7109,Leap Academy University Cs
A. K-6,Cape May,09,710,Cape May City
A. K-6,Cape May,09,2840,Lower Twp
A. K-6,Cape May,09,5610,West Cape May Boro
B. K-8 / 0 - 400,Cape May,09,170,Avalon Boro
B. K-8 / 0 - 400,Cape May,09,3680,North Wildwood City
B. K-8 / 0 - 400,Cape May,09,5060,Stone Harbor Boro
B. K-8 / 0 - 400,Cape May,09,5800,Wildwood Crest Boro
B. K-8 / 0 - 400,Cape May,09,5840,Woodbine Boro
C. K-8 / 401 - 750,Cape May,09,1080,Dennis Twp
D. K-8 / 751 +,Cape May,09,5340,Upper Twp
E. K-12 / 0 - 1800,Cape May,09,3780,Ocean City
E. K-12 / 0 - 1800,Cape May,09,5790,Wildwood City
F. K-12 / 1801 - 3500,Cape May,09,3130,Middle Twp
H. 7-12 / 9-12,Cape May,09,2820,Lower Cape May Regional
I. CSSD,Cape May,09,715,Cape May Co Special Serv
J. County Voc,Cape May,09,720,Cape May County Vocational School Distri
B. K-8 / 0 - 400,Cumberland,11,1020,Deerfield Twp
B. K-8 / 0 - 400,Cumberland,11,1120,Downe Twp
B. K-8 / 0 - 400,Cumberland,11,1820,Greenwich Twp
B. K-8 / 0 - 400,Cumberland,11,3050,Maurice River Twp
B. K-8 / 0 - 400,Cumberland,11,5070,Stow Creek Twp
C. K-8 / 401 - 750,Cumberland,11,950,Commercial Twp
C. K-8 / 401 - 750,Cumberland,11,1460,Fairfield Twp
C. K-8 / 401 - 750,Cumberland,11,2270,Hopewell Twp
C. K-8 / 401 - 750,Cumberland,11,2570,Lawrence Twp
D. K-8 / 751 +,Cumberland,11,5300,Upper Deerfield Twp
G. K-12 / 3501 +,Cumberland,11,540,Bridgeton City
G. K-12 / 3501 +,Cumberland,11,3230,Millville City
G. K-12 / 3501 +,Cumberland,11,5390,Vineland City
H. 7-12 / 9-12,Cumberland,11,997,Cumberland Regional
J. County Voc,Cumberland,11,995,Cumberland Co Vocational
K. Charter/Ren,Cumberland,11,6028,Vineland Public Charter School
K. Charter/Ren,Cumberland,11,6069,Millville Public Charter School
K. Charter/Ren,Cumberland,11,6089,Compass Academy Cs
K. Charter/Ren,Cumberland,11,6100,Bridgeton Public Charter School
A. K-6,Essex,13,1400,Essex Fells Boro
A. K-6,Essex,13,1465,Fairfield Twp
A. K-6,Essex,13,3630,North Caldwell Boro
A. K-6,Essex,13,4530,Roseland Boro
E. K-12 / 0 - 1800,Essex,13,760,Cedar Grove Twp
E. K-12 / 0 - 1800,Essex,13,1750,Glen Ridge Boro
F. K-12 / 1801 - 3500,Essex,13,660,Caldwell-West Caldwell
F. K-12 / 1801 - 3500,Essex,13,5370,Verona Boro
G. K-12 / 3501 +,Essex,13,250,Belleville Town
G. K-12 / 3501 +,Essex,13,410,Bloomfield Twp
G. K-12 / 3501 +,Essex,13,1210,East Orange
G. K-12 / 3501 +,Essex,13,2330,Irvington Township
G. K-12 / 3501 +,Essex,13,2730,Livingston Twp
G. K-12 / 3501 +,Essex,13,3190,Millburn Twp
G. K-12 / 3501 +,Essex,13,3310,Montclair Town
G. K-12 / 3501 +,Essex,13,3570,Newark City
G. K-12 / 3501 +,Essex,13,3750,Nutley Town
G. K-12 / 3501 +,Essex,13,3880,City Of Orange Twp
G. K-12 / 3501 +,Essex,13,4900,South Orange-Maplewood
G. K-12 / 3501 +,Essex,13,5680,West Orange Town
H. 7-12 / 9-12,Essex,13,5630,West Essex Regional
J. County Voc,Essex,13,1390,Essex Co Voc-Tech
K. Charter/Ren,Essex,13,6020,Pride Academy Charter School
K. Charter/Ren,Essex,13,6022,Burch Charter School Of Excellence
K. Charter/Ren,Essex,13,6029,Newark Educators Community Charter Schoo
K. Charter/Ren,Essex,13,6053,Great Oaks Legacy Charter School
K. Charter/Ren,Essex,13,6058,Roseville Community Cs
K. Charter/Ren,Essex,13,6094,Phillip's Academy Charter School
K. Charter/Ren,Essex,13,6099,Link Community Charter School
K. Charter/Ren,Essex,13,6109,Lead Charter School
K. Charter/Ren,Essex,13,6320,Discovery Cs
K. Charter/Ren,Essex,13,6410,East Orange Community Cs
K. Charter/Ren,Essex,13,6665,Gray Cs
K. Charter/Ren,Essex,13,7021,People's Achieve Community Charter Schoo
K. Charter/Ren,Essex,13,7210,Marion P. Thomas Cs
K. Charter/Ren,Essex,13,7290,New Horizons Comm. Cs
K. Charter/Ren,Essex,13,7320,North Star Academy Charter School
K. Charter/Ren,Essex,13,7325,Team Academy Charter School
K. Charter/Ren,Essex,13,7730,Robert Treat Academy Cs
K. Charter/Ren,Essex,13,7735,Maria L. Varisco-Rogers Cs
A. K-6,Gloucester,15,1180,East Greenwich Twp
A. K-6,Gloucester,15,1330,Elk Twp
A. K-6,Gloucester,15,1590,Franklin Twp
A. K-6,Gloucester,15,2070,Harrison Twp
A. K-6,Gloucester,15,2990,Mantua Twp
A. K-6,Gloucester,15,3490,National Park Boro
A. K-6,Gloucester,15,4880,South Harrison Twp
A. K-6,Gloucester,15,5120,Swedesboro-Woolwich
A. K-6,Gloucester,15,5590,Wenonah Boro
A. K-6,Gloucester,15,5740,Westville Boro
A. K-6,Gloucester,15,5870,Woodbury Heights Boro
C. K-8 / 401 - 750,Gloucester,15,1830,Greenwich Twp
D. K-8 / 751 +,Gloucester,15,2750,Logan Twp
E. K-12 / 0 - 1800,Gloucester,15,860,Clayton Boro
E. K-12 / 0 - 1800,Gloucester,15,4020,Paulsboro Boro
E. K-12 / 0 - 1800,Gloucester,15,4140,Pitman Boro
E. K-12 / 0 - 1800,Gloucester,15,5860,Woodbury City
F. K-12 / 1801 - 3500,Gloucester,15,1730,Glassboro
F. K-12 / 1801 - 3500,Gloucester,15,5620,West Deptford Twp
G. K-12 / 3501 +,Gloucester,15,1100,Deptford Twp
G. K-12 / 3501 +,Gloucester,15,3280,Monroe Twp
G. K-12 / 3501 +,Gloucester,15,5500,Washington Twp
H. 7-12 / 9-12,Gloucester,15,870,Clearview Regional
H. 7-12 / 9-12,Gloucester,15,1715,Gateway Regional
H. 7-12 / 9-12,Gloucester,15,2440,Kingsway Regional
H. 7-12 / 9-12,Gloucester,15,4940,Delsea Regional H.S Dist.
I. CSSD,Gloucester,15,1774,Gloucester Co Spec Serv
J. County Voc,Gloucester,15,1775,Gloucester Co Vocational
B. K-8 / 0 - 400,Hudson,17,1200,East Newark Boro
D. K-8 / 751 +,Hudson,17,1850,Guttenberg Town
E. K-12 / 0 - 1800,Hudson,17,5580,Weehawken Twp
F. K-12 / 1801 - 3500,Hudson,17,2060,Harrison Town
F. K-12 / 1801 - 3500,Hudson,17,2210,Hoboken City
F. K-12 / 1801 - 3500,Hudson,17,4730,Secaucus Town
G. K-12 / 3501 +,Hudson,17,220,Bayonne City
G. K-12 / 3501 +,Hudson,17,2390,Jersey City
G. K-12 / 3501 +,Hudson,17,2410,Kearny Town
G. K-12 / 3501 +,Hudson,17,3610,North Bergen Twp
G. K-12 / 3501 +,Hudson,17,5240,Union City
G. K-12 / 3501 +,Hudson,17,5670,West New York Schools
J. County Voc,Hudson,17,2295,Hudson County Vocational
K. Charter/Ren,Hudson,17,6030,The Ethical Community Charter School
K. Charter/Ren,Hudson,17,6036,Hola Hoboken Dual Lang Cs
K. Charter/Ren,Hudson,17,6064,Dr Lena Edwards Academic Charter School
K. Charter/Ren,Hudson,17,6082,Beloved Community Charter School
K. Charter/Ren,Hudson,17,6093,Jersey City Global Cs
K. Charter/Ren,Hudson,17,6103,Empowerment Academy Charter School
K. Charter/Ren,Hudson,17,6105,Hudson Arts And Science  Charter School
K. Charter/Ren,Hudson,17,6420,Elysian Cs Of Hoboken
K. Charter/Ren,Hudson,17,6720,Hoboken Cs
K. Charter/Ren,Hudson,17,6910,Jersey City Comm. Cs
K. Charter/Ren,Hudson,17,6915,Jersey City Golden Door Charter School
K. Charter/Ren,Hudson,17,7115,Learning Community Cs
K. Charter/Ren,Hudson,17,7830,Soaring Heights Cs
K. Charter/Ren,Hudson,17,7898,Kindle Education Public Charter School
K. Charter/Ren,Hudson,17,8060,University Academy Cs
A. K-6,Hunterdon,19,1970,Hampton Boro
A. K-6,Hunterdon,19,2590,Lebanon Boro
A. K-6,Hunterdon,19,3180,Milford Boro
B. K-8 / 0 - 400,Hunterdon,19,370,Bethlehem Twp
B. K-8 / 0 - 400,Hunterdon,19,430,Bloomsbury Boro
B. K-8 / 0 - 400,Hunterdon,19,670,Califon Boro
B. K-8 / 0 - 400,Hunterdon,19,910,Clinton-Glen Gardner
B. K-8 / 0 - 400,Hunterdon,19,1160,East Amwell Twp
B. K-8 / 0 - 400,Hunterdon,19,1600,Franklin Twp
B. K-8 / 0 - 400,Hunterdon,19,1680,Frenchtown Boro
B. K-8 / 0 - 400,Hunterdon,19,2140,High Bridge Boro
B. K-8 / 0 - 400,Hunterdon,19,2450,Kingwood Twp
C. K-8 / 401 - 750,Hunterdon,19,20,Alexandria Twp
C. K-8 / 401 - 750,Hunterdon,19,1040,Delaware Twp
C. K-8 / 401 - 750,Hunterdon,19,2220,Holland Twp
C. K-8 / 401 - 750,Hunterdon,19,2600,Lebanon Twp
C. K-8 / 401 - 750,Hunterdon,19,5180,Tewksbury Twp
C. K-8 / 401 - 750,Hunterdon,19,5270,Union Twp
D. K-8 / 751 +,Hunterdon,19,920,Clinton Twp
D. K-8 / 751 +,Hunterdon,19,1510,Flemington-Raritan Reg
D. K-8 / 751 +,Hunterdon,19,4350,Readington Twp
E. K-12 / 0 - 1800,Hunterdon,19,1376,South Hunterdon Regional School District
H. 7-12 / 9-12,Hunterdon,19,1050,Delaware Valley Regional
H. 7-12 / 9-12,Hunterdon,19,2300,Hunterdon Central Reg
H. 7-12 / 9-12,Hunterdon,19,3660,North Hunterdon-Voorhees Regional High S
J. County Voc,Hunterdon,19,2308,Hunterdon Co Vocational
F. K-12 / 1801 - 3500,Mercer,21,2280,Hopewell Valley Regional
F. K-12 / 1801 - 3500,Mercer,21,5510,Robbinsville Twp
G. K-12 / 3501 +,Mercer,21,1245,East Windsor Regional
G. K-12 / 3501 +,Mercer,21,1430,Ewing Twp
G. K-12 / 3501 +,Mercer,21,1950,Hamilton Twp
G. K-12 / 3501 +,Mercer,21,2580,Lawrence Twp
G. K-12 / 3501 +,Mercer,21,4255,Princeton Public Schools
G. K-12 / 3501 +,Mercer,21,5210,Trenton Public School District
G. K-12 / 3501 +,Mercer,21,5715,W Windsor-Plainsboro Reg
